"(PDH-CSV 4.0) (Coordinated Universal Time)(0)","\\EC2AMAZ-LAEQ1CL\Memory\Page Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Available Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Committed Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Commit Limit","\\EC2AMAZ-LAEQ1CL\Memory\Write Copies/sec","\\EC2AMAZ-LAEQ1CL\Memory\Transition Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Cache Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Demand Zero Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages Input/sec","\\EC2AMAZ-LAEQ1CL\Memory\Page Reads/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages Output/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Pool Nonpaged Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Page Writes/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Allocs","\\EC2AMAZ-LAEQ1CL\Memory\Pool Nonpaged Allocs","\\EC2AMAZ-LAEQ1CL\Memory\Free System Page Table Entries","\\EC2AMAZ-LAEQ1CL\Memory\Cache Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Cache Bytes Peak","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Code Total Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Code Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Driver Total Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Driver Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Cache Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\% Committed Bytes In Use","\\EC2AMAZ-LAEQ1CL\Memory\Available KBytes","\\EC2AMAZ-LAEQ1CL\Memory\Available MBytes","\\EC2AMAZ-LAEQ1CL\Memory\Transition Pages RePurposed/sec","\\EC2AMAZ-LAEQ1CL\Memory\Free & Zero Page List Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Modified Page List Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Reserve Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Normal Priority Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Core Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Long-Term Average Standby Cache Lifetime (s)","\\EC2AMAZ-LAEQ1CL\Processor(_Total)\% Processor Time"
"03/26/2025 09:42:04.161","38146.642503405309981","14394372096","3513556992","20266467328","293.0370217391607639","4997.576962585550973","5468.0309566701898802","27313.243220130007103","16.944317583556916418","16.944317583556916418","2.9901736912159262438","0","222593024","78561280","0","0","0","16227696","101494784","103563264","201310208","8192","17100800","15667200","40271872","101494784","17.336800395822336895","14057004","13727","0","12322660352","180846592","843821056","1227890688","0","14400","56.393400303103248916"
"03/26/2025 09:42:05.149","9504.4419017832497047","14374789120","3512750080","20266467328","23.28279515827188817","281.41813278259064646","1662.1891152122800577","7749.1216059378821228","0","0","0","0","222588928","78561280","0","0","0","16227688","102273024","103563264","201310208","8192","17100800","15667200","40271872","102273024","17.332818898682671005","14037880","13708","0","12304355328","180822016","843816960","1226616832","0","14400","18.529868019778305666"
"03/26/2025 09:42:06.152","427.61133219868474953","14370131968","3513896960","20266467328","0","0","20.93202325448107004","422.62751713809399234","0","0","0","0","222588928","78561280","0","0","0","16227714","102359040","103563264","201310208","8192","17100800","15667200","40271872","102359040","17.338477894044128647","14033332","13704","0","12299784192","180822016","843816960","1226530816","0","14400","3.0494399301151164927"
"03/26/2025 09:42:07.159","57.61614968755159083","14369906688","3515199488","20266467328","0","0.99338189116468256223","0","57.61614968755159083","0","0","0","0","222588928","78561280","0","0","0","16227724","102359040","103563264","201310208","8192","17100800","15667200","40271872","102359040","17.344904904566917025","14033112","13704","0","12299558912","180817920","843816960","1226530816","0","14400","1.8272030541727879438"
"03/26/2025 09:42:08.147","425.89442127877782696","14378151936","3507998720","20266467328","0","3.0348771112501982117","0","422.85954416752764473","0","0","0","0","222588928","78561280","0","0","0","16227725","102359040","103563264","201310208","8192","17100800","15667200","40271872","102359040","17.30937445939271413","14041164","13712","0","12307800064","180817920","843816960","1226534912","0","14400","0"
"03/26/2025 09:42:09.150","63.806207785713226599","14375497728","3508940800","20266467328","0","19.9394399330353842","0.99697199665176916561","42.869795856026073011","0","0","0","0","222588928","78561280","0","0","0","16227685","102363136","103563264","201310208","8192","17100800","15667200","40271872","102363136","17.314022923194343662","14038572","13709","0","12305149952","180817920","843816960","1226530816","0","14400","1.0977865341972981028"
"03/26/2025 09:42:10.154","36.859689904409869143","14375583744","3508940800","20266467328","0","3.9848313410172830906","0","32.874858563392585609","0","0","0","0","222588928","78561280","0","0","0","16227740","102363136","103563264","201310208","8192","17100800","15667200","40271872","102363136","17.314022923194343662","14038656","13709","0","12305235968","180817920","843816960","1226530816","0","14400","1.1434603612364258041"
"03/26/2025 09:42:11.157","20.935470598972788281","14375567360","3508940800","20266467328","0","0","0","20.935470598972788281","0","0","0","0","222588928","78561280","0","0","0","16227696","102363136","103563264","201310208","8192","17100800","15667200","40271872","102363136","17.314022923194343662","14038640","13709","0","12305219584","180817920","843816960","1226530816","0","14400","0.32184084029485138245"
"03/26/2025 09:42:12.160","77.769716093675015145","14375596032","3508948992","20266467328","0","48.855334469103532058","0","28.914381624571479534","0","0","0","0","222588928","78561280","0","0","0","16227712","102363136","103563264","201310208","8192","17100800","15667200","40271872","102363136","17.314063342594092632","14038668","13709","0","12305248256","180817920","843816960","1226530816","0","14400","1.0738636188019512474"
"03/26/2025 09:42:13.149","328.63719212383051627","14377684992","3503566848","20266467328","0","0","2.0223827207620339586","326.61480940306847742","0","0","0","0","222588928","78561280","0","0","0","16227734","102371328","103563264","201310208","8192","17100800","15667200","40271872","102371328","17.287506446542103333","14040708","13711","0","12307345408","180875264","843816960","1226522624","0","14400","0"
"03/26/2025 09:42:14.152","39.887549021797745752","14376484864","3504619520","20266467328","0","1.9943774510898872876","0.9971887255449436438","38.89036029625280122","0","0","0","0","222588928","78561280","0","0","0","16227696","102375424","103563264","201310208","8192","17100800","15667200","40271872","102375424","17.29270059552339589","14039536","13710","0","12306116608","180842496","843816960","1226551296","0","14400","0.66944094620808858309"
